tipo,nombre,direccion,lat,lon,materiales,horario
Contenedor Verde,"GARAY, JUAN DE AV. 1445","GARAY, JUAN DE AV. 1445",-34.62706865032591,-58.38661339927648,,
Contenedor Verde,"GARAY, JUAN DE AV. 1664","GARAY, JUAN DE AV. 1664",-34.62724865740208,-58.38890330140283,,
Contenedor Verde,"GARCIA, MARTIN AV. 373","GARCIA, MARTIN AV. 373",-34.62929852123249,-58.3705940590736,,
Contenedor Verde,HUMBERTO 1° 755,HUMBERTO 1° 755,-34.62081874314715,-58.376403874543676,,
Contenedor Verde,HUMBERTO 1° 843,HUMBERTO 1° 843,-34.62078875134531,-58.377943809807455,,
Contenedor Verde,HUMBERTO 1° 1345,HUMBERTO 1° 1345,-34.62087878345663,-58.384943513940904,,
Contenedor Verde,INDEPENDENCIA AV. 1175,INDEPENDENCIA AV. 1175,-34.61763884641347,-58.38269363197285,,
Contenedor Verde,INDEPENDENCIA AV. 1327,INDEPENDENCIA AV. 1327,-34.61770885462763,-58.38470354670641,,
Contenedor Verde,INDEPENDENCIA AV. 1457,INDEPENDENCIA AV. 1457,-34.617878861489345,-58.38690345271346,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 220","IRIGOYEN, BERNARDO DE 220",-34.610958988292076,-58.38053377075235,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 826","IRIGOYEN, BERNARDO DE 826",-34.61811882325872,-58.38019373397771,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 1370","IRIGOYEN, BERNARDO DE 1370",-34.624478674832844,-58.37952371682029,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 1569","IRIGOYEN, BERNARDO DE 1569",-34.627058611205,-58.37855373930758,,
Contenedor Verde,"IRIGOYEN, BERNARDO DE 1616","IRIGOYEN, BERNARDO DE 1616",-34.62764859671135,-58.378343743951554,,
Contenedor Verde,LAVALLE 1713,LAVALLE 1713,-34.60300922288941,-58.39144336749066,,
Contenedor Verde,LIBERTAD 869,LIBERTAD 869,-34.598449290566606,-58.3840037137185,,
Contenedor Verde,MAIPU 308,MAIPU 308,-34.6044791178229,-58.376783975114094,,
Contenedor Verde,MEXICO 220,MEXICO 220,-34.61482884858621,-58.369994187621515,,
Contenedor Verde,MEXICO 1314,MEXICO 1314,-34.61548890518775,-58.38468356340544,,
Contenedor Verde,"MITRE, BARTOLOME 1586","MITRE, BARTOLOME 1586",-34.60778910160745,-58.3889334391832,,
Contenedor Verde,"MITRE, BARTOLOME 1620","MITRE, BARTOLOME 1620",-34.607869102516815,-58.38949341499941,,
Contenedor Verde,MONTEVIDEO 490,MONTEVIDEO 490,-34.603319206884144,-58.38961344243308,,
Contenedor Verde,MORENO 747,MORENO 747,-34.61156895666626,-58.37690391947327,,
Contenedor Verde,MORENO 1269,MORENO 1269,-34.6120789812836,-58.38433360251582,,
Contenedor Verde,MORENO 1465,MORENO 1465,-34.612338989850116,-58.38730347541862,,
Contenedor Verde,PARAGUAY 344,PARAGUAY 344,-34.59727926092342,-58.372454209018116,,
Contenedor Verde,PARAGUAY 418,PARAGUAY 418,-34.59739926301233,-58.373444166423084,,
Contenedor Verde,PARANA 451,PARANA 451,-34.60353919298162,-58.38779351759775,,
Contenedor Verde,PASEO COLON AV. 970,PASEO COLON AV. 970,-34.61882874945399,-58.36838422699325,,
Contenedor Verde,PASEO COLON AV. 1017,PASEO COLON AV. 1017,-34.6196687302339,-58.36837422142359,,
Contenedor Verde,PASEO COLON AV. 1177,PASEO COLON AV. 1177,-34.62128869408772,-58.36854420269787,,
Contenedor Verde,PASEO COLON AV. 1333,PASEO COLON AV. 1333,-34.62317864972877,-58.368294199759674,,
Contenedor Verde,PASEO COLON AV. 1484,PASEO COLON AV. 1484,-34.62497860473986,-58.36749422066193,,
Contenedor Verde,PAVON 1200,PAVON 1200,-34.62604865451744,-58.3827035714807,,
Contenedor Verde,PAVON 1380,PAVON 1380,-34.62608866634779,-58.38531346111105,,
Contenedor Verde,PAVON 1476,PAVON 1476,-34.626198670429474,-58.386663403385455,,
Contenedor Verde,PAVON 1788,PAVON 1788,-34.62637868717823,-58.390933222003014,,
Contenedor Verde,"PELLEGRINI, CARLOS 977","PELLEGRINI, CARLOS 977",-34.59690931202425,-58.38120384275244,,
Contenedor Verde,"PELLEGRINI, CARLOS 1149","PELLEGRINI, CARLOS 1149",-34.59459936552601,-58.381373852061756,,
Contenedor Verde,"PELLEGRINI, CARLOS 1379","PELLEGRINI, CARLOS 1379",-34.5917194313358,-58.38140387133652,,
Contenedor Verde,"PERON, JUAN DOMINGO, TTE. GENERAL 327","PERON, JUAN DOMINGO, TTE. GENERAL 327",-34.60536907138843,-58.371424194776814,,
Contenedor Verde,"PERON, JUAN DOMINGO, TTE. GENERAL 927","PERON, JUAN DOMINGO, TTE. GENERAL 927",-34.605959098305966,-58.379703841432814,,
Contenedor Verde,"PERON, JUAN DOMINGO, TTE. GENERAL 1230","PERON, JUAN DOMINGO, TTE. GENERAL 1230",-34.606169113520046,-58.383803667056426,,
Contenedor Verde,PIEDRAS 626,PIEDRAS 626,-34.615388872090065,-58.37743386986229,,
Contenedor Verde,PIEDRAS 1568,PIEDRAS 1568,-34.627058597639575,-58.375773856566866,,
Contenedor Verde,RECONQUISTA 760,RECONQUISTA 760,-34.59880922759159,-58.37277418462071,,
Contenedor Verde,REPUBLICA BOLIVARIANA DE VENEZUELA 679,REPUBLICA BOLIVARIANA DE VENEZUELA 679,-34.6138388988732,-58.37567395514569,,
Contenedor Verde,REPUBLICA BOLIVARIANA DE VENEZUELA 1155,REPUBLICA BOLIVARIANA DE VENEZUELA 1155,-34.614358920477486,-58.382533662141505,,
Contenedor Verde,REPUBLICA BOLIVARIANA DE VENEZUELA 1229,REPUBLICA BOLIVARIANA DE VENEZUELA 1229,-34.61426892775334,-58.38360361766186,,
Contenedor Verde,REPUBLICA BOLIVARIANA DE VENEZUELA 1477,REPUBLICA BOLIVARIANA DE VENEZUELA 1477,-34.614408942230774,-58.38722346400682,,
Contenedor Verde,REPUBLICA BOLIVARIANA DE VENEZUELA 1663,REPUBLICA BOLIVARIANA DE VENEZUELA 1663,-34.61459895024981,-58.38975335596068,,
Contenedor Verde,RONDEAU 1639,RONDEAU 1639,-34.632458535530375,-58.38830328946229,,
Contenedor Verde,"SAENZ PEÑA, LUIS, PRES. 964","SAENZ PEÑA, LUIS, PRES. 964",-34.62116878792218,-58.387213416133754,,
Contenedor Verde,"SAENZ PEÑA, LUIS, PRES. 2018","SAENZ PEÑA, LUIS, PRES. 2018",-34.632458526884236,-58.38653336412302,,
Contenedor Verde,SALTA 956,SALTA 956,-34.61925881037152,-58.38288361239059,,
Contenedor Verde,SAN JUAN AV. 390,SAN JUAN AV. 390,-34.62196869090254,-58.37107409113754,,
Contenedor Verde,SAN JUAN AV. 444,SAN JUAN AV. 444,-34.62197869511196,-58.37198405268477,,
Contenedor Verde,SAN JUAN AV. 572,SAN JUAN AV. 572,-34.621918704431145,-58.37361398436426,,
Contenedor Verde,SAN JUAN AV. 788,SAN JUAN AV. 788,-34.6221387143369,-58.376673853733095,,
Contenedor Verde,SAN JUAN AV. 942,SAN JUAN AV. 942,-34.622228724627576,-58.379203746384405,,
Contenedor Verde,SAN JUAN AV. 1176,SAN JUAN AV. 1176,-34.622208741239106,-58.38251360692527,,
Contenedor Verde,SAN JUAN AV. 1554,SAN JUAN AV. 1554,-34.62253875963388,-58.3878233806176,,
Contenedor Verde,SAN JUAN AV. 1760,SAN JUAN AV. 1760,-34.622768769037876,-58.390823252450026,,
Contenedor Verde,SAN MARTIN 491,SAN MARTIN 491,-34.60229915316259,-58.37383411504675,,
Contenedor Verde,SAN MARTIN 775,SAN MARTIN 775,-34.5988192323355,-58.37379414154399,,
Contenedor Verde,SANTA FE AV. 1286,SANTA FE AV. 1286,-34.5957293588353,-58.385283679162804,,
Contenedor Verde,SARMIENTO 487,SARMIENTO 487,-34.60439910282567,-58.373334121155516,,
