wkt_geom,direccion,barrio,comuna,mas_info,materiales
Point (96722.86281180000514723 103737.37133700000413228),"Solano Lopez, F., Mariscal 3159",Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97208.72262339999724645 103955.26816399999370333),Terrada 3599,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97049.27845620000152849 104168.27475199999753386),Terrada 3847,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97875.85546639999665786 103794.384342999997898),Tinogasta 2426,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97687.18587410000327509 103599.49715100000321399),Venecia 3148,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (98116.49025240000628401 103606.36890200000198092),Zamudio 3225,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (97466.08086739999998827 104477.65304000000469387),Zamudio 3849,Agronomia,15,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103396.62224199999764096 102390.75636200000008103),Rawson 362,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104481.75703399999474641 102590.57626800000434741),Sarmiento 3465,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104280.3966870000003837 102634.02702799999678973),Sarmiento 3669,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103760.97498899999482092 102723.57890500000212342),Sarmiento 4075,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103522.37166800000704825 102759.76189700000395533),Sarmiento 4271,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103259.90187000000150874 102782.30975899999612011),Sarmiento 4429,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (102978.14761899999575689 102805.80722200000309385),Sarmiento 4625,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103295.56636199999775272 101496.47757499999715947),Mu?iz 178,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103313.8933439999964321 101164.18907999999646563),Mu?iz 454,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103302.38146299999789335 101278.73552099999506027),Mu?iz 360,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103785.63275999999314081 103359.84518000000389293),"Acu?a De Figueroa, Francisco 1044",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (102873.62992300000041723 103078.76789600000483915),Aguirre 17,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103325.38261899999633897 103474.31381599999440368),Estado De Israel Av. 4323,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103844.17934400000376627 101153.81057699999655597),Agrelo 3949,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103499.5488690000056522 101124.00725300000340212),Agrelo 4173,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104548.04161800000292715 101518.15221099999325816),Avda Belgrano 3358,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103779.98129700000572484 101489.68375500000547618),Avda Belgrano 3926,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104041.82253200000559445 101656.17687900000601076),Avda Hipolito Yrigoyen 3737,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103505.65912500000558794 101605.5307089999987511),Avda Hipolito Yrigoyen 4141,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103169.24815600000147242 101259.56822499999543652),Avda La Plata 271,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103209.27163099999597762 101141.43924000000697561),Avda La Plata 358,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103210.88567200000397861 101014.93498499999986961),Avda La Plata 451,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103255.86875599999621045 100857.42294299999775831),Avda La Plata 558,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103136.86287599999923259 101438.00264099999913014),Avda La Plata 93,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104355.40841099999670405 102111.6068539999978384),Billinghurst 45,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104454.32091999999829568 103372.6811160000070231),Billinghurst 945,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103699.56221200000436511 101511.12912500000675209),"Bocayuva, Quintino 289",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103740.89184500000556 101252.67922900000121444),"Bocayuva, Quintino 516",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104187.44751199999882374 101798.68919299999834038),Boedo 145,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104254.83628099999623373 101290.68968199999653734),Boedo 423,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104000.12350499999593012 101049.47742500000458676),Castro Barros 689,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103960.95286299999861512 101450.8009299999976065),Castro Barros Av. 321,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103881.77629799999704119 101919.35958499999833293),Castro Barros Av. 33,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104114.1945689999993192 101516.70559500000672415),Colombres 294,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104134.88940800000273157 101242.61385100000188686),Colombres 450,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104031.30227499999455176 101906.55808000000251923),Colombres 54,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104147.5176190000056522 100975.80140399999800138),Colombres 652,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104613.67671600000176113 103482.17707000000518747),Cordoba Av. 3293,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104409.34841200000664685 103491.39128700000583194),Cordoba Av. 3451,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104309.62195600000268314 103494.45148499999777414),Cordoba Av. 3521,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104001.11950699999579228 103502.84316200000466779),Cordoba Av. 3767,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103711.96789600000192877 103509.86494600000150967),Cordoba Av. 3973,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104409.48237599999993108 102805.70154599999659695),Corrientes Av. 3572,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104168.13456500000029337 102850.17169400000420865),Corrientes Av. 3790,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103918.90870200000063051 102880.55427799999597482),Corrientes Av. 3974,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103674.57717200000479352 102909.7127219999965746),Corrientes Av. 4144,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103368.9591459999937797 102946.80663799999456387),Corrientes Av. 4370,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103133.92028999999456573 102975.2305389999964973),Corrientes Av. 4534,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (102900.78604799999448005 103004.28254299999389332),Corrientes Av. 4680,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104005.85990599999786355 102289.73240700000314973),Diaz Velez Av. 3762,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103747.43450099999608938 102284.54931600000418257),Diaz Velez Av. 3974,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103473.87718199999653734 102278.04680399999779183),Diaz Velez Av. 4144,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103180.01062200000160374 102269.59925400000065565),Diaz Velez Av. 4364,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104430.41170500000589527 101932.15458800000487827),Don Bosco 3474,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103648.10232900000119116 101729.40540899999905378),Don Bosco 4112,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103613.96529900000314228 101912.64481599999999162),Gascon 37,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104450.95203000000037719 103037.41728700000385288),Guardia Vieja 3549,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104251.97644399999990128 103114.13622299999406096),Guardia Vieja 3741,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103992.29595800000242889 103164.9385749999928521),Guardia Vieja 3941,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103707.33136300000478514 103198.11982700000226032),Guardia Vieja 4143,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103446.1481050000002142 103229.26551300000573974),Guardia Vieja 4327,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103182.4757510000054026 103259.5167619999992894),Guardia Vieja 4527,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104371.01797499999520369 102950.95689099999435712),Humahuaca 3608,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104149.99144800000067335 102999.47336200000427198),Humahuaca 3806,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103818.3674650000029942 103044.3299059999990277),Humahuaca 4056,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103596.40388399999937974 103066.50220899999840185),Humahuaca 4206,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103266.08604999999806751 103106.09702499999548309),Humahuaca 4434,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (102992.1890690000000177 102622.01024699999834411),Lambare 806,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104570.97406599999521859 103105.70802900000126101),Lavalle 3367,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104352.69004699999641161 103191.30377899999439251),Lavalle 3585,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103402.81537399999797344 101871.42081900000630412),Lezica 4250,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104469.74478500000259373 101705.95429300000250805),Liniers Virrey 276,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104512.91123100000550039 101288.72891299999901094),Liniers Virrey 566,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103427.38734000000113156 101394.66793700000562239),"Marmol, Jose 275",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103419.83518199999525677 101682.20404199999757111),"Marmol, Jose 34",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103479.55393999999796506 100925.82509800000116229),"Marmol, Jose 635",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104349.3080679999984568 101621.9302659999957541),Maza 318,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104235.15115499999956228 101963.23139400000218302),Maza 41,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104375.88583699999435339 101417.03588399999716785),Maza 456,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
